SupplyID,ProductID,Product,Category,SupplierRole,SupplierID,SupplierName,PurchasePrice_CLP,PurchasePrice_USD,PriceType,PurchaseUnit,LeadTime_Days,HasDelivery
SUP0201,P101,Dried apple rings,Dried Fruit,Primary,S019,San Fernando Dried Goods,3850,4.12,By Weight (kg),kg,2,Yes
SUP0202,P101,Dried apple rings,Dried Fruit,Backup,S020,Deshidratados Elqui,4200,4.49,By Weight (kg),kg,2,No
SUP0203,P102,Dried pear halves,Dried Fruit,Primary,S019,San Fernando Dried Goods,4550,4.87,By Weight (kg),kg,0,Yes
SUP0204,P102,Dried pear halves,Dried Fruit,Backup,S020,Deshidratados Elqui,4950,5.29,By Weight (kg),kg,5,No
SUP0205,P103,Cranberries (dried),Dried Fruit,Primary,S019,San Fernando Dried Goods,6400,6.84,By Weight (kg),kg,1,Yes
SUP0206,P103,Cranberries (dried),Dried Fruit,Backup,S020,Deshidratados Elqui,6600,7.06,By Weight (kg),kg,10,No
SUP0207,P104,Dried dates,Dried Fruit,Primary,S019,San Fernando Dried Goods,5400,5.78,By Weight (kg),kg,5,Yes
SUP0208,P104,Dried dates,Dried Fruit,Backup,S020,Deshidratados Elqui,5450,5.83,By Weight (kg),kg,2,No
SUP0209,P105,Banana chips,Dried Fruit,Primary,S019,San Fernando Dried Goods,4300,4.6,By Weight (kg),kg,1,Yes
SUP0210,P105,Banana chips,Dried Fruit,Backup,S020,Deshidratados Elqui,4850,5.19,By Weight (kg),kg,10,No
SUP0211,P106,Dried mango,Dried Fruit,Primary,S019,San Fernando Dried Goods,6500,6.95,By Weight (kg),kg,2,Yes
SUP0212,P106,Dried mango,Dried Fruit,Backup,S020,Deshidratados Elqui,6800,7.27,By Weight (kg),kg,5,No
SUP0213,P107,Classic trail mix (nuts & raisins),Trail Mix,Primary,S013,Maipo Nuts Ltd.,5850,6.26,By Weight (kg),kg,1,Yes
SUP0214,P107,Classic trail mix (nuts & raisins),Trail Mix,Backup,S019,San Fernando Dried Goods,6300,6.74,By Weight (kg),kg,3,Yes
SUP0215,P108,Tropical trail mix,Trail Mix,Primary,S013,Maipo Nuts Ltd.,6500,6.95,By Weight (kg),kg,1,Yes
SUP0216,P108,Tropical trail mix,Trail Mix,Backup,S019,San Fernando Dried Goods,6300,6.74,By Weight (kg),kg,7,Yes
SUP0217,P109,Energy mix (seeds & fruit),Trail Mix,Primary,S013,Maipo Nuts Ltd.,5400,5.78,By Weight (kg),kg,2,Yes
SUP0218,P109,Energy mix (seeds & fruit),Trail Mix,Backup,S019,San Fernando Dried Goods,5450,5.83,By Weight (kg),kg,3,Yes
SUP0219,P110,Premium nut mix,Trail Mix,Primary,S013,Maipo Nuts Ltd.,9950,10.64,By Weight (kg),kg,5,Yes
SUP0220,P110,Premium nut mix,Trail Mix,Backup,S019,San Fernando Dried Goods,11300,12.09,By Weight (kg),kg,2,Yes
SUP0221,P111,"Student mix (peanut, raisin, choc)",Trail Mix,Primary,S013,Maipo Nuts Ltd.,4950,5.29,By Weight (kg),kg,0,Yes
SUP0222,P111,"Student mix (peanut, raisin, choc)",Trail Mix,Backup,S019,San Fernando Dried Goods,5050,5.4,By Weight (kg),kg,10,Yes
SUP0223,P112,Empty PET bottle 200ml (pack of 10),Packaging,Primary,S021,PackChile Wholesale,1000,1.07,By Unit/Package,pack 10,0,Yes
SUP0224,P112,Empty PET bottle 200ml (pack of 10),Packaging,Backup,S022,Envases del Pacifico,1050,1.12,By Unit/Package,pack 10,2,Yes
SUP0225,P113,Empty PET bottle 350ml (pack of 10),Packaging,Primary,S021,PackChile Wholesale,1350,1.44,By Unit/Package,pack 10,2,Yes
SUP0226,P113,Empty PET bottle 350ml (pack of 10),Packaging,Backup,S022,Envases del Pacifico,1400,1.5,By Unit/Package,pack 10,2,Yes
SUP0227,P114,Empty PET bottle 500ml (pack of 10),Packaging,Primary,S021,PackChile Wholesale,1650,1.76,By Unit/Package,pack 10,1,Yes
SUP0228,P114,Empty PET bottle 500ml (pack of 10),Packaging,Backup,S022,Envases del Pacifico,1800,1.93,By Unit/Package,pack 10,3,Yes
SUP0229,P115,Empty PET bottle 750ml (pack of 10),Packaging,Primary,S021,PackChile Wholesale,2050,2.19,By Unit/Package,pack 10,0,Yes
SUP0230,P115,Empty PET bottle 750ml (pack of 10),Packaging,Backup,S022,Envases del Pacifico,2000,2.14,By Unit/Package,pack 10,10,Yes
SUP0231,P116,Empty PET bottle 1L (pack of 10),Packaging,Primary,S021,PackChile Wholesale,2350,2.51,By Unit/Package,pack 10,1,Yes
SUP0232,P116,Empty PET bottle 1L (pack of 10),Packaging,Backup,S022,Envases del Pacifico,2400,2.57,By Unit/Package,pack 10,7,Yes
SUP0233,P117,Empty PET bottle 1.5L (pack of 10),Packaging,Primary,S021,PackChile Wholesale,3100,3.32,By Unit/Package,pack 10,3,Yes
SUP0234,P117,Empty PET bottle 1.5L (pack of 10),Packaging,Backup,S022,Envases del Pacifico,3000,3.21,By Unit/Package,pack 10,5,Yes
SUP0235,P118,Empty PET bottle 2L (pack of 10),Packaging,Primary,S021,PackChile Wholesale,3600,3.85,By Unit/Package,pack 10,1,Yes
SUP0236,P118,Empty PET bottle 2L (pack of 10),Packaging,Backup,S022,Envases del Pacifico,3700,3.96,By Unit/Package,pack 10,7,Yes
SUP0237,P119,Poly bag 10x15cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,650,0.7,By Unit/Package,pack 100,2,Yes
SUP0238,P119,Poly bag 10x15cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,700,0.75,By Unit/Package,pack 100,5,Yes
SUP0239,P120,Poly bag 12x20cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,950,1.02,By Unit/Package,pack 100,1,Yes
SUP0240,P120,Poly bag 12x20cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,1100,1.18,By Unit/Package,pack 100,3,Yes
SUP0241,P121,Poly bag 15x25cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,1300,1.39,By Unit/Package,pack 100,1,Yes
SUP0242,P121,Poly bag 15x25cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,1400,1.5,By Unit/Package,pack 100,7,Yes
SUP0243,P122,Poly bag 20x30cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,1750,1.87,By Unit/Package,pack 100,0,Yes
SUP0244,P122,Poly bag 20x30cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,1700,1.82,By Unit/Package,pack 100,3,Yes
SUP0245,P123,Poly bag 25x35cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,1950,2.09,By Unit/Package,pack 100,2,Yes
SUP0246,P123,Poly bag 25x35cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,2200,2.35,By Unit/Package,pack 100,7,Yes
SUP0247,P124,Poly bag 30x40cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,2550,2.73,By Unit/Package,pack 100,0,Yes
SUP0248,P124,Poly bag 30x40cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,2650,2.83,By Unit/Package,pack 100,5,Yes
SUP0249,P125,Poly bag 35x50cm (pack of 100),Packaging,Primary,S021,PackChile Wholesale,3300,3.53,By Unit/Package,pack 100,5,Yes
SUP0250,P125,Poly bag 35x50cm (pack of 100),Packaging,Backup,S022,Envases del Pacifico,3350,3.58,By Unit/Package,pack 100,5,Yes
SUP0251,P126,Zipper bag 12x18cm (pack of 50),Packaging,Primary,S021,PackChile Wholesale,1700,1.82,By Unit/Package,pack 50,3,Yes
SUP0252,P126,Zipper bag 12x18cm (pack of 50),Packaging,Backup,S022,Envases del Pacifico,1800,1.93,By Unit/Package,pack 50,5,Yes
SUP0253,P127,Zipper bag 18x25cm (pack of 50),Packaging,Primary,S021,PackChile Wholesale,2400,2.57,By Unit/Package,pack 50,2,Yes
SUP0254,P127,Zipper bag 18x25cm (pack of 50),Packaging,Backup,S022,Envases del Pacifico,2400,2.57,By Unit/Package,pack 50,7,Yes
SUP0255,P128,Vacuum bag 20x30cm (pack of 50),Packaging,Primary,S021,PackChile Wholesale,3050,3.26,By Unit/Package,pack 50,0,Yes
SUP0256,P128,Vacuum bag 20x30cm (pack of 50),Packaging,Backup,S022,Envases del Pacifico,3200,3.42,By Unit/Package,pack 50,2,Yes
